Section,,Mass,Depth,Width,Thickness,,Root,Depth,Ratios for,,Dimensions for,,,Surface,,,,,,,,,,,,,,
Designation,,per,of,of,,,Radius,between,Local Buckling,,Detailing,,,Area,,Second Moment,,Radius of,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
,,Metre,Section,Section,Web,Flange,,Fillets,Web,Flange,End,Notch,,Per,Per,of Area,,Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
,,,,,,,,,,,Clearance,,,Metre,Tonne,y-y,z-z,y-y,z-z,y-y,z-z,y-y,z-z,,,,,Section
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,h,b,tw,tf,r,d,cw / tw,cf / tf,C,N,n,,,,,,,,,,,U,X,Iw,I T,A
,,kg/m,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
1016x305x487,+ ,486.7,1036.3,308.5,30,54.1,30,868.1,28.9,2.02,17,150,86,3.2,6.58,1020000,26700,40.6,6.57,19700,1730,23200,2800,0.867,21.1,64.4,4300,620
1016x305x437,+ ,437,1026.1,305.4,26.9,49,30,868.1,32.3,2.23,15,150,80,3.17,7.25,910000,23400,40.4,6.49,17700,1540,20800,2470,0.868,23.1,56,3190,557
1016x305x393,+ ,392.7,1015.9,303,24.4,43.9,30,868.1,35.6,2.49,14,150,74,3.14,8,808000,20500,40.2,6.4,15900,1350,18500,2170,0.868,25.5,48.4,2330,500
1016x305x349,+ ,349.4,1008.1,302,21.1,40,30,868.1,41.1,2.76,13,152,70,3.13,8.96,723000,18500,40.3,6.44,14300,1220,16600,1940,0.872,27.9,43.3,1720,445
1016x305x314,+ ,314.3,999.9,300,19.1,35.9,30,868.1,45.5,3.08,12,152,66,3.11,9.89,644000,16200,40.1,6.37,12900,1080,14800,1710,0.872,30.7,37.7,1260,400
1016x305x272,+ ,272.3,990.1,300,16.5,31,30,868.1,52.6,3.6,10,152,62,3.1,11.4,554000,14000,40,6.35,11200,934,12800,1470,0.872,35,32.2,835,347
1016x305x249,+ ,248.7,980.1,300,16.5,26,30,868.1,52.6,4.3,10,152,56,3.08,12.4,481000,11800,39,6.09,9820,784,11300,1240,0.861,39.9,26.8,582,317
1016x305x222,+ ,222,970.3,300,16,21.1,30,868.1,54.3,5.31,10,152,52,3.06,13.8,408000,9550,38,5.81,8410,636,9810,1020,0.85,45.7,21.5,390,283
914x419x388,,388,921,420.5,21.4,36.6,24.1,799.6,37.4,4.79,13,210,62,3.44,8.87,720000,45400,38.2,9.59,15600,2160,17700,3340,0.885,26.7,88.9,1730,494
914x419x343,,343.3,911.8,418.5,19.4,32,24.1,799.6,41.2,5.48,12,210,58,3.42,9.96,626000,39200,37.8,9.46,13700,1870,15500,2890,0.883,30.1,75.8,1190,437
914x305x289,,289.1,926.6,307.7,19.5,32,19.1,824.4,42.3,3.91,12,156,52,3.01,10.4,504000,15600,37,6.51,10900,1010,12600,1600,0.867,31.9,31.2,926,368
914x305x253,,253.4,918.4,305.5,17.3,27.9,19.1,824.4,47.7,4.48,11,156,48,2.99,11.8,436000,13300,36.8,6.42,9500,871,10900,1370,0.865,36.2,26.4,626,323
